,Name,Type,Episodes,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi,Yuri,Year,Seconds
15,Kkoma Sinseon Tao 2,TV,13,Unknown,Unknown,Unknown,Original,G - All Ages,15079.0,16463,116,1,7,44,4,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1320.0
16,Pokemon Masters: Trainers Great Gathering Special Animation,ONA,1,Unknown,Unknown,OLM,Game,PG - Children,6917.0,10311,1074,0,29,778,17,31,219,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,240.0
17,Midnight Eye: Gokuu II,OVA,1,Unknown,Urban Vision,Madhouse,Manga,R+ - Mild Nudity,7208.0,7016,4116,4,87,2842,45,50,1092,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1989,3180.0
18,Kitty's Paradise,TV,16,Unknown,ADV Films,"Bones, Sanrio",Original,G - All Ages,7260.0,10163,1142,4,34,688,37,96,287,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,1380.0
19,Choujigen Game Neptune: Hi☆Light,Special,2,Unknown,Unknown,Unknown,Game,PG-13 - Teens 13 or older,6063.0,8626,2197,5,158,300,58,44,1637,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,5760.0
20,Souten Kouro,TV,26,VAP,Unknown,Madhouse,Manga,R+ - Mild Nudity,2350.0,4076,15684,42,1296,3745,1005,1056,8582,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,1380.0
21,Gochuumon wa Usagi Desu ka? Bloom,TV,12,Unknown,Sentai Filmworks,Encourage Films,4-koma manga,PG-13 - Teens 13 or older,558.0,2741,34740,288,4809,10351,700,591,18289,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020,1440.0
22,Heavy Object: Dai 37 Kidou Seihi Daitai - Sakusen Kiroku,Special,1,Unknown,Unknown,"J.C.Staff, SANZIGEN",Light novel,PG-13 - Teens 13 or older,6983.0,8429,2377,0,125,832,61,69,1290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1200.0
23,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Movie,1,Dentsu Tec,Unknown,OLM,Unknown,G - All Ages,2245.0,3701,19711,45,239,17307,106,142,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2010,5400.0
24,Tobidashi wa Abunaizo! Mushi Mushi Mura no Koutsuu Anzen,OVA,1,Unknown,Unknown,Toei Animation,Unknown,G - All Ages,12526.0,16559,112,0,7,23,3,46,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,720.0
25,Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,Movie,1,Unknown,Unknown,Madhouse,Original,G - All Ages,7820.0,11775,579,1,31,220,20,45,263,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1999,1800.0
26,Spice Paradise: Curry Meshi Ver.,Music,1,Unknown,Unknown,Unknown,Other,G - All Ages,9286.0,11082,767,0,19,436,13,24,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,60.0
27,Candy Candy,TV,115,Unknown,Unknown,Toei Animation,Manga,G - All Ages,1504.0,3498,21937,346,1097,13177,1284,1644,4735,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1976,1500.0
28,Miracle Giants Doumu-kun Special,Special,1,Yomiko Advertising,Unknown,Unknown,Unknown,PG - Children,15594.0,15270,179,0,6,61,3,41,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1991,3720.0
29,Kuma ni Kuwarenu Otoko,Movie,1,Unknown,Unknown,Unknown,Original,G - All Ages,10397.0,11753,585,0,10,445,4,36,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,540.0
30,Tu Xia Zhi Qing Li Chuanshuo,Movie,1,Unknown,Unknown,Unknown,Original,PG - Children,12646.0,14148,250,0,18,85,3,44,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,5700.0
31,Clock,Special,1,Unknown,Unknown,RG Animation Studios,Original,G - All Ages,10546.0,13604,290,0,10,160,6,25,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,60.0
32,Persona 5 the Animation TV Specials,Special,2,Unknown,Unknown,CloverWorks,Game,R - 17+ (violence & profanity),3914.0,3415,22822,24,1385,14993,544,278,5622,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,3000.0
33,Ai Yori Aoshi,TV,24,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,PG-13 - Teens 13 or older,3012.0,1465,94793,458,4111,60075,4160,5814,20633,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2002,1380.0
34,Manga Revue Haru,Movie,1,Unknown,Unknown,Unknown,Original,G - All Ages,10062.0,13617,289,0,11,202,4,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1931,540.0
